activation,add_noise,anomaly_ratio,auxi_batch_size,auxi_lambda,auxi_loss,auxi_mode,auxi_type,batch_size,c_out,channel_independence,checkpoints,cutoff_freq_percentage,d_ff,d_layers,d_model,data,data_id,data_path,data_percentage,dec_in,des,deterministic,devices,distil,dropout,e_layers,embed,enc_in,extra_metrics,factor,features,first_order,fix_seed,freq,gpu,inner_lr,inverse,is_training,itr,label_len,learning_rate,leg_degree,log_path,loss,lr_decay,lradj,mask_rate,max_norm,meta_inner_steps,meta_lr,meta_optim_type,meta_type,min_lr,mode,model,model_id,model_per_task,module_first,moving_avg,n_heads,noise_amp,noise_freq_percentage,noise_seed,noise_type,num_kernels,num_tasks,num_workers,offload,optim_type,output_attention,output_log,output_pred,output_vis,overlap_ratio,p_hidden_dims,p_hidden_layers,patience,pct_start,pred_len,pretrain_model_path,rec_lambda,reconstruction_type,report_to,rerun,results,root_path,seasonal_patterns,seq_len,step_size,target,task_name,test_batch_size,test_results,thread,top_k,train_epochs,use_amp,use_gpu,use_multi_gpu,verbose,warmup_steps,weighting_type,mae,mse,rmse,mape,mspe,mre,exp_dir
gelu,False,0.25,1024,0.9,MAE,rfft,complex,16,321,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_96_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/checkpoints/,0.06,512,1,512,custom,ECL,electricity.csv,1.0,321,iTransformer,0,"0,1,2,3",True,0.1,3,timeF,321,[],3,M,1,2023,h,0,0.0005,False,1,1,48,0.001,2,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_96_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/result_long_term_forecast.txt,MSE,0.5,type1,0.25,1.0,1,0.0005,sgd,all,1e-06,0,iTransformer,ECL_96_96,0,1,25,8,1,0.05,2023,sin,6,5,10,0,adam,False,False,False,False,0.15,"[128, 128]",2,3,0.2,96,,0.1,imputation,local,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_96_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/results/,/mnt/tidalfs-bdsz01/usr/panlicheng/dataset/electricity/,Monthly,96,1,OT,long_term_forecast,1,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_96_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/test_results/,1,5,10,False,True,False,0,20,softmax,0.23458611965179443,0.14575091004371643,0.3817733824253082,2.475815534591675,566563.1875,2.475815534591675,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_96_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1
gelu,False,0.25,1024,0.9,MAE,rfft,complex,16,321,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_192_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/checkpoints/,0.06,512,1,512,custom,ECL,electricity.csv,1.0,321,iTransformer,0,"0,1,2,3",True,0.1,3,timeF,321,[],3,M,1,2023,h,0,0.0005,False,1,1,48,0.001,2,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_192_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/result_long_term_forecast.txt,MSE,0.5,type1,0.25,1.0,1,0.0005,sgd,all,1e-06,0,iTransformer,ECL_96_192,0,1,25,8,1,0.05,2023,sin,6,5,10,0,adam,False,False,False,False,0.15,"[128, 128]",2,3,0.2,192,,0.1,imputation,local,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_192_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/results/,/mnt/tidalfs-bdsz01/usr/panlicheng/dataset/electricity/,Monthly,96,1,OT,long_term_forecast,1,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_192_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/test_results/,1,5,10,False,True,False,0,20,softmax,0.2481863796710968,0.15994292497634888,0.39992865920066833,2.6097702980041504,630721.375,2.6097702980041504,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_192_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1
gelu,False,0.25,1024,0.9,MAE,rfft,complex,16,321,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_336_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/checkpoints/,0.06,512,1,512,custom,ECL,electricity.csv,1.0,321,iTransformer,0,"0,1,2,3",True,0.1,3,timeF,321,[],3,M,1,2023,h,0,0.0005,False,1,1,48,0.001,2,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_336_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/result_long_term_forecast.txt,MSE,0.5,type1,0.25,1.0,1,0.0005,sgd,all,1e-06,0,iTransformer,ECL_96_336,0,1,25,8,1,0.05,2023,sin,6,5,10,0,adam,False,False,False,False,0.15,"[128, 128]",2,3,0.2,336,,0.1,imputation,local,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_336_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/results/,/mnt/tidalfs-bdsz01/usr/panlicheng/dataset/electricity/,Monthly,96,1,OT,long_term_forecast,1,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_336_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/test_results/,1,5,10,False,True,False,0,20,softmax,0.2642762064933777,0.17325042188167572,0.416233628988266,2.7844834327697754,743406.125,2.7844834327697754,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_336_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1
gelu,False,0.25,1024,0.9,MAE,rfft,complex,16,321,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_720_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/checkpoints/,0.06,512,1,512,custom,ECL,electricity.csv,1.0,321,iTransformer,0,"0,1,2,3",True,0.1,3,timeF,321,[],3,M,1,2023,h,0,0.0005,False,1,1,48,0.001,2,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_720_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/result_long_term_forecast.txt,MSE,0.5,type1,0.25,1.0,1,0.0005,sgd,all,1e-06,0,iTransformer,ECL_96_720,0,1,25,8,1,0.05,2023,sin,6,5,10,0,adam,False,False,False,False,0.15,"[128, 128]",2,3,0.2,720,,0.1,imputation,local,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_720_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/results/,/mnt/tidalfs-bdsz01/usr/panlicheng/dataset/electricity/,Monthly,96,1,OT,long_term_forecast,1,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_720_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1/test_results/,1,5,10,False,True,False,0,20,softmax,0.29912370443344116,0.21584346890449524,0.46458956599235535,2.8573358058929443,521690.40625,2.8573358058929443,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ECL_720_0.1_0.9_0.001_type1_10_3_16_rfft_complex_MAE_1
gelu,False,0.25,1024,0.8,MAE,rfft,complex,32,7,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_96_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/checkpoints/,0.06,128,1,128,ETTh1,ETTh1,ETTh1.csv,1.0,7,iTransformer,0,"0,1,2,3",True,0.1,2,timeF,7,[],3,M,1,2023,h,0,0.0005,False,1,1,48,0.001,2,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_96_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/result_long_term_forecast.txt,MSE,0.5,type1,0.25,1.0,1,0.0005,sgd,all,1e-06,0,iTransformer,ETTh1_96_96,0,1,25,8,1,0.05,2023,sin,6,5,10,0,adam,False,False,False,False,0.15,"[128, 128]",2,3,0.2,96,,0.2,imputation,local,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_96_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/results/,/mnt/tidalfs-bdsz01/usr/panlicheng/dataset/ETT-small/,Monthly,96,1,OT,long_term_forecast,1,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_96_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/test_results/,1,5,10,False,True,False,0,20,softmax,0.3973694443702698,0.3775627017021179,0.6144613027572632,9.833894729614258,46394.73046875,9.833894729614258,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_96_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1
gelu,False,0.25,1024,0.8,MAE,rfft,complex,32,7,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_192_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/checkpoints/,0.06,128,1,128,ETTh1,ETTh1,ETTh1.csv,1.0,7,iTransformer,0,"0,1,2,3",True,0.1,2,timeF,7,[],3,M,1,2023,h,0,0.0005,False,1,1,48,0.001,2,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_192_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/result_long_term_forecast.txt,MSE,0.5,type1,0.25,1.0,1,0.0005,sgd,all,1e-06,0,iTransformer,ETTh1_96_192,0,1,25,8,1,0.05,2023,sin,6,5,10,0,adam,False,False,False,False,0.15,"[128, 128]",2,3,0.2,192,,0.2,imputation,local,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_192_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/results/,/mnt/tidalfs-bdsz01/usr/panlicheng/dataset/ETT-small/,Monthly,96,1,OT,long_term_forecast,1,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_192_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/test_results/,1,5,10,False,True,False,0,20,softmax,0.42612746357917786,0.43041688203811646,0.6560616493225098,9.588763236999512,38946.8515625,9.588763236999512,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_192_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1
gelu,False,0.25,1024,0.8,MAE,rfft,complex,32,7,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_336_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/checkpoints/,0.06,128,1,128,ETTh1,ETTh1,ETTh1.csv,1.0,7,iTransformer,0,"0,1,2,3",True,0.1,2,timeF,7,[],3,M,1,2023,h,0,0.0005,False,1,1,48,0.001,2,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_336_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/result_long_term_forecast.txt,MSE,0.5,type1,0.25,1.0,1,0.0005,sgd,all,1e-06,0,iTransformer,ETTh1_96_336,0,1,25,8,1,0.05,2023,sin,6,5,10,0,adam,False,False,False,False,0.15,"[128, 128]",2,3,0.2,336,,0.2,imputation,local,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_336_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/results/,/mnt/tidalfs-bdsz01/usr/panlicheng/dataset/ETT-small/,Monthly,96,1,OT,long_term_forecast,1,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_336_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/test_results/,1,5,10,False,True,False,0,20,softmax,0.44280585646629333,0.4651016294956207,0.6819835901260376,9.767274856567383,41966.2109375,9.767274856567383,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_336_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1
gelu,False,0.25,1024,0.8,MAE,rfft,complex,32,7,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_720_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/checkpoints/,0.06,128,1,128,ETTh1,ETTh1,ETTh1.csv,1.0,7,iTransformer,0,"0,1,2,3",True,0.1,2,timeF,7,[],3,M,1,2023,h,0,0.0005,False,1,1,48,0.001,2,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_720_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/result_long_term_forecast.txt,MSE,0.5,type1,0.25,1.0,1,0.0005,sgd,all,1e-06,0,iTransformer,ETTh1_96_720,0,1,25,8,1,0.05,2023,sin,6,5,10,0,adam,False,False,False,False,0.15,"[128, 128]",2,3,0.2,720,,0.2,imputation,local,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_720_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/results/,/mnt/tidalfs-bdsz01/usr/panlicheng/dataset/ETT-small/,Monthly,96,1,OT,long_term_forecast,1,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_720_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1/test_results/,1,5,10,False,True,False,0,20,softmax,0.46880728006362915,0.4717128872871399,0.6868135929107666,10.5106840133667,46712.8203125,10.5106840133667,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh1_720_0.2_0.8_0.001_type1_10_3_32_rfft_complex_MAE_1
gelu,False,0.25,1024,0.9,MAE,rfft,complex,32,7,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh2_96_0.1_0.9_0.001_type1_10_3_32_rfft_complex_MAE_1/checkpoints/,0.06,128,1,128,ETTh2,ETTh2,ETTh2.csv,1.0,7,iTransformer,0,"0,1,2,3",True,0.1,2,timeF,7,[],3,M,1,2023,h,0,0.0005,False,1,1,48,0.001,2,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh2_96_0.1_0.9_0.001_type1_10_3_32_rfft_complex_MAE_1/result_long_term_forecast.txt,MSE,0.5,type1,0.25,1.0,1,0.0005,sgd,all,1e-06,0,iTransformer,ETTh2_96_96,0,1,25,8,1,0.05,2023,sin,6,5,10,0,adam,False,False,False,False,0.15,"[128, 128]",2,3,0.2,96,,0.1,imputation,local,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh2_96_0.1_0.9_0.001_type1_10_3_32_rfft_complex_MAE_1/results/,/mnt/tidalfs-bdsz01/usr/panlicheng/dataset/ETT-small/,Monthly,96,1,OT,long_term_forecast,1,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh2_96_0.1_0.9_0.001_type1_10_3_32_rfft_complex_MAE_1/test_results/,1,5,10,False,True,False,0,20,softmax,0.3362296223640442,0.28687024116516113,0.5356026887893677,1.3632006645202637,370.0620422363281,1.3632006645202637,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh2_96_0.1_0.9_0.001_type1_10_3_32_rfft_complex_MAE_1
gelu,False,0.25,1024,0.9,MAE,rfft,complex,32,7,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh2_192_0.1_0.9_0.001_type1_10_3_32_rfft_complex_MAE_1/checkpoints/,0.06,128,1,128,ETTh2,ETTh2,ETTh2.csv,1.0,7,iTransformer,0,"0,1,2,3",True,0.1,2,timeF,7,[],3,M,1,2023,h,0,0.0005,False,1,1,48,0.001,2,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh2_192_0.1_0.9_0.001_type1_10_3_32_rfft_complex_MAE_1/result_long_term_forecast.txt,MSE,0.5,type1,0.25,1.0,1,0.0005,sgd,all,1e-06,0,iTransformer,ETTh2_96_192,0,1,25,8,1,0.05,2023,sin,6,5,10,0,adam,False,False,False,False,0.15,"[128, 128]",2,3,0.2,192,,0.1,imputation,local,0,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh2_192_0.1_0.9_0.001_type1_10_3_32_rfft_complex_MAE_1/results/,/mnt/tidalfs-bdsz01/usr/panlicheng/dataset/ETT-small/,Monthly,96,1,OT,long_term_forecast,1,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh2_192_0.1_0.9_0.001_type1_10_3_32_rfft_complex_MAE_1/test_results/,1,5,10,False,True,False,0,20,softmax,0.38573533296585083,0.36455783247947693,0.6037862300872803,1.4855815172195435,325.3310241699219,1.4855815172195435,/mnt/tidalfs-bdsz01/dataset/llm_ckpt/plc_data/FreDF/results/ltf_repro/iTransformer_ETTh2_192_0.1_0.9_0.001_type1_10_3_32_rfft_complex_MAE_1
